Blokker legitimasjon,Poststed,Land/område,Avdeling,DirSyncEnabled,Visningsnavn,Faks,Fornavn,Tidspunkt for siste DirSync,Etternavn,Tidsangivelse for siste passordendring,Detaljer om lisenstildeling,Lisenser,Mobiltelefon,Metadata for OATH-token,Objekt-ID,Kontor,Passordet utløper aldri,Telefonnummer,Postnummer,Foretrukket dataplassering,Foretrukket språk,Proxyadresser,Spor for utgivelse,Tidsangivelse for myk sletting,Delstat,Gateadresse,Sterkt passord kreves,Tittel,Bruksplassering,Brukerhovednavn,Når det ble opprettet
False,Bellevue,United States,Retail,,Adele Vance,,Adele,,Vance,2023-01-06 14:10:30Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,79d5b134-ddac-4249-a5e3-4cefe327d29a,18/2111,,'+1 425 555 0109,98004,,en-US,SMTP:AdeleV@randombedrift.onmicrosoft.com,,,WA,"205 108th Ave. NE, Suite 400",,Retail Manager,US,AdeleV@randombedrift.onmicrosoft.com,2023-01-06 14:10:30Z
False,San Diego,United States,Marketing,,Alex Wilber,,Alex,,Wilber,2023-01-06 14:10:32Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,0dba9392-62c5-45e5-a89a-5d138de3a355,131/1104,,'+1 858 555 0110,92121,,en-US,SMTP:AlexW@randombedrift.onmicrosoft.com,,,CA,"9256 Towne Center Dr., Suite 400",,Marketing Assistant,US,AlexW@randombedrift.onmicrosoft.com,2023-01-06 14:10:32Z
False,,,,,Arne Belinda,,,,,2023-02-10 08:42:49Z,,,,,8238cac7-2563-4ad4-9435-4a78d45061cf,,,,,,,SMTP:arne_belinda@hotmail.com,,,,,,,,arne.belinda@randombedrift.onmicrosoft.com,2023-02-10 08:42:49Z
False,,,,,Bjarne Betjent,,Bjarne,,Betjent,2023-02-08 19:30:12Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,cf267d82-78c7-41dd-94d1-db344eb2acb6,,False,,,,,SMTP:bjarne.betjent@randombedrift.onmicrosoft.com,,,,,True,,NO,bjarne.betjent@randombedrift.onmicrosoft.com,2023-02-08 19:30:13Z
False,Birmingham,United States,HR,,Diego Siciliani,,Diego,,Siciliani,2023-01-06 14:10:35Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,9ce536e9-60e5-4843-9b3f-b5c71ef01a7a,14/1108,,'+1 205 555 0108,35243,,en-US,SMTP:DiegoS@randombedrift.onmicrosoft.com,,,AL,3535 Gradview Parkway Suite 335,,HR Manager,US,DiegoS@randombedrift.onmicrosoft.com,2023-01-06 14:10:35Z
False,,,HR,,Ellie Holtmoen,,Ellie,,Holtmoen,2023-01-31 12:03:08Z,,,1122334455,,6e4e5866-6855-4d4e-b1ef-d9399093f6e1,,,,,,,,,,,,,,,ellie.holtmoen@randombedrift.onmicrosoft.com,2023-01-31 12:03:08Z
False,,,,,Furtebua,,,,,2023-02-09 19:56:37Z,,,,,992f0c50-4e42-44fb-9d6f-862b2d016ab0,Oslo,,,,,,SMTP:Furtebua@randombedrift.onmicrosoft.com,,,,,,,,Furtebua@randombedrift.onmicrosoft.com,2023-02-09 19:56:37Z
False,Bloomington,United States,R&D,,Grady Archie,,Grady,,Archie,2023-01-06 14:10:37Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,3c2a455a-c6d2-4783-a267-481b8b7e22dd,19/2109,,'+1 309 555 0104,61704,,en-US,SMTP:GradyA@randombedrift.onmicrosoft.com,,,IL,"2203 E. Empire St., Suite J",,Designer,US,GradyA@randombedrift.onmicrosoft.com,2023-01-06 14:10:38Z
False,Fort Lauderdale,United States,R&D,,Henrietta Mueller,,Henrietta,,Mueller,2023-01-06 14:10:40Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,4c70ff73-3042-49c8-9046-632924906da2,18/1106,,'+1 954 555 0118,33309,,en-US,SMTP:HenriettaM@randombedrift.onmicrosoft.com,,,FL,"6750 North Andrews Ave., Suite 400",,Developer,US,HenriettaM@randombedrift.onmicrosoft.com,2023-01-06 14:10:40Z
False,,,,,Igloo,,,,,2023-02-10 19:26:57Z,,,,,de062403-01f9-4be7-bc13-48fb6138a7a8,,,,,,,SMTP:Igloo@randombedrift.onmicrosoft.com,,,,,,,,Igloo@randombedrift.onmicrosoft.com,2023-02-10 19:26:58Z
False,Tulsa,United States,Sales,,Isaiah Langer,,Isaiah,,Langer,2023-01-06 14:10:41Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,48ce4b1e-46e0-41aa-8999-6dd25533f647,20/1101,,'+1 918 555 0101,74133,,en-US,SMTP:IsaiahL@randombedrift.onmicrosoft.com,,,OK,"7633 E. 63rd Place, Suite 300",,Sales Rep,US,IsaiahL@randombedrift.onmicrosoft.com,2023-01-06 14:10:41Z
False,,,,,IT-Support,,,,,2023-02-10 10:40:32Z,,,,,3068c921-c510-4d34-8989-f2ffb5b073ba,,,,,,,smtp:IT-Support@randombedrift.onmicrosoft.com+SMTP:itsupport@randombedrift.onmicrosoft.com,,,,,,,,IT-Support@randombedrift.onmicrosoft.com,2023-02-10 10:40:32Z
False,Louisville,United States,Engineering,,Johanna Lorenz,,Johanna,,Lorenz,2023-01-06 14:10:44Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,bfa48da3-6a16-49e3-b7c0-0cb5771f6e83,23/2102,,'+1 502 555 0102,40223,,en-US,SMTP:JohannaL@randombedrift.onmicrosoft.com,,,KY,"9900 Corporate Campus Dr., Suite 3000",,Senior Engineer,US,JohannaL@randombedrift.onmicrosoft.com,2023-01-06 14:10:44Z
False,Charlotte,United States,Legal,,Joni Sherman,,Joni,,Sherman,2023-01-06 14:10:45Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,48a23f54-fd09-45ca-8f5c-33af1a39e53e,20/1109,,'+1 980 555 0101,28273,,en-US,SMTP:JoniS@randombedrift.onmicrosoft.com,,,NC,8055 Microsoft Way,,Paralegal,US,JoniS@randombedrift.onmicrosoft.com,2023-01-06 14:10:45Z
False,,,,,Kåre Hittmaker,,Kåre,,Hittmaker,2023-02-08 19:29:03Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,e90b59e8-a252-4697-9c32-3f59d9917159,,False,,,,,SMTP:kare.hittmaker@randombedrift.onmicrosoft.com,,,,,True,,NO,kare.hittmaker@randombedrift.onmicrosoft.com,2023-02-08 19:29:03Z
False,,,,,Kari Nordmann,,Kari,,Nordmann,2023-01-26 23:04:48Z,,,,,2eafe601-877e-489d-b48f-12c156f4568a,,,,,,,,,,,,,,,Kari.Nordmann@randombedrift.onmicrosoft.com,2023-01-26 23:04:48Z
False,,,,,Kontakt,,,,,2023-02-08 19:42:19Z,,,,,5ec5143b-de6d-49e9-bd83-480eca3d9ba4,,,,,,,SMTP:kontakt@randombedrift.onmicrosoft.com,,,,,,,,kontakt@randombedrift.onmicrosoft.com,2023-02-08 19:42:19Z
False,Overland Park,United States,Manufacturing,,Lee Gu,,Lee,,Gu,2023-01-06 14:10:23Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,6e0a9740-00e0-4c99-bba4-199ac40b4bde,23/3101,,'+1 913 555 0101,66210,,en-US,SMTP:LeeG@randombedrift.onmicrosoft.com,,,KS,"10801 Mastin Blvd., Suite 620",,Director,US,LeeG@randombedrift.onmicrosoft.com,2023-01-06 14:10:23Z
